Strain;Species;SamplingSite
KM581743.1 Apodemus sylvaticus voucher MNHN VE43 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581742.1 Apodemus sylvaticus voucher MNHN VE42 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581741.1 Apodemus sylvaticus voucher MNHN VE41 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581740.1 Apodemus sylvaticus voucher MNHN VE40 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581739.1 Apodemus sylvaticus voucher MNHN VE39 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581738.1 Apodemus sylvaticus voucher MNHN VE38 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581737.1 Apodemus sylvaticus voucher MNHN VE37 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581736.1 Apodemus sylvaticus voucher MNHN VE36 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581714.1 Apodemus sylvaticus voucher Murcia9 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581713.1 Apodemus sylvaticus voucher Murcia8 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581712.1 Apodemus sylvaticus voucher Murcia7 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581711.1 Apodemus sylvaticus voucher Murcia6 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581710.1 Apodemus sylvaticus voucher Murcia5 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581709.1 Apodemus sylvaticus voucher Murcia16 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581708.1 Apodemus sylvaticus voucher Murcia15 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581707.1 Apodemus sylvaticus voucher Murcia14 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581706.1 Apodemus sylvaticus voucher Murcia13 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581705.1 Apodemus sylvaticus voucher Murcia12 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581704.1 Apodemus sylvaticus voucher Murcia11 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581703.1 Apodemus sylvaticus voucher Murcia10 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581694.1 Apodemus sylvaticus voucher MNHN VV198691 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581693.1 Apodemus sylvaticus voucher 1928 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581692.1 Apodemus sylvaticus voucher 1927 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581691.1 Apodemus sylvaticus voucher 1922 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581690.1 Apodemus sylvaticus voucher 1918 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581689.1 Apodemus sylvaticus voucher 1914 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581688.1 Apodemus sylvaticus voucher 1913 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581687.1 Apodemus sylvaticus voucher 1912 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581686.1 Apodemus sylvaticus voucher 794 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581685.1 Apodemus sylvaticus voucher 793 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581684.1 Apodemus sylvaticus voucher 791 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581683.1 Apodemus sylvaticus voucher 790 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581682.1 Apodemus sylvaticus voucher 787 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
KM581681.1 Apodemus sylvaticus voucher 786 cytochrome b (Cytb) gene;Apodemus sylvaticus;Spain
